id,baseSalary,capHit,capPct,name,payrollType,player,playerId,position,_source_team_ids
e9ad2c8d-9e3b-4c3d-8122-553aed665642,0,0,,Isaac Jones,twoWay,1642403,1642403,PF,9
efbb8887-a4fd-4520-ba52-6bb1e701ca2e,0,0,,Elijah Harkless,twoWay,1641989,1641989,SG,9
bec52839-9135-4605-bcff-73ee8fc1fb5c,62587158,62587158,,Stephen Curry,activeRoster,201939,201939,PG,10
c6cea2b4-cd48-433d-95ef-4360eaa03c62,56832773,56832773,,Jimmy Butler,activeRoster,202710,202710,"SF, SG, PF",10
100ac162-4906-454a-b858-53916c8570fe,0,38839286,,Draymond Green,capHold,203110,203110,"PF, SF",10
01187ad5-530d-4329-834a-019892472c35,20000000,20000000,,Kristaps Porziņģis,activeRoster,204001,204001,"C, PF",10
e5c9ccc0-4306-43bb-bcd6-c123cc09662a,12500000,12500000,,Moses Moody,activeRoster,1630541,1630541,SG,10
1db12e11-1a64-4500-b243-1090a0f26ffb,6822000,6822000,,Al Horford,activeRoster,201143,201143,C,10
6dca97b9-3291-4d01-89e0-0e690c4ca408,6096240,6096240,,Yaxel Lendeborg,activeRoster,1642865,1642865,SF,10
b985dcff-c9de-4010-b7de-b1b67430a331,5679459,5679459,,Brandin Podziemski,activeRoster,1641764,1641764,SG,10
3e20127a-567c-417b-9d15-180e3b07b466,5477000,5477000,,De'Anthony Melton,activeRoster,1629001,1629001,"PG, SG",10
c1cbb6d3-a4ef-49a3-b540-b70ad245c65a,4629630,4629630,,Gui Santos,activeRoster,1630611,1630611,PF,10
f167a056-85b2-41a5-a4e2-a76c86b90263,0,2457009,,Kevin Knox,capHold,1628995,1628995,"SF, PF",10
fc3ee9bf-0586-4e71-9e1f-5ce9c659340c,0,2449421,,Usman Garuba,capHold,1630586,1630586,"PF, C",10
21870968-1aff-442f-9fe2-2bd2454a45c7,0,2449421,,Andrew Bogut,capHold,101106,101106,"C, PF",10
43e10dc8-467e-41b6-a3f0-b70ccf53d47f,2845883,2449421,,Charles Bassey,activeRoster,1629646,1629646,C,10
6b84fcc7-e1cd-4c47-a702-bbff7b3d012c,0,2449421,,Andre Iguodala,capHold,2738,2738,"SF, SG, PF",10
729404ef-abfb-461c-9366-834e502b3e95,0,2449421,,David West,capHold,2561,2561,"PF, C, SF",10
7bedb8b9-ecf5-495a-a3b5-a4e2da8c5a4b,0,2449421,,Pat Spencer,capHold,1630311,1630311,PG,10
805eed2b-1538-4a0d-895f-0a96250e726e,0,2449421,,JaMychal Green,capHold,203210,203210,PF,10
9495dab4-3111-467a-8bc1-3fa487463875,0,2449421,,Seth Curry,capHold,203552,203552,"SG, PG",10
b1ff47c0-12c6-4837-a41b-18f57900f1c3,0,2449421,,Nemanja Bjelica,capHold,202357,202357,"PF, C",10
ba79b347-c1d5-44a9-8f8e-18141b0c51bd,0,2449421,,Anthony Lamb,capHold,1630237,1630237,SF,10
c2e9e038-9fba-450e-9279-7ce014c043b5,0,2449421,,Jeenathan Williams,capHold,1631466,1631466,SG,10
